step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,177,1,0.3420815316694318,0.0,0.76
2,354,2,0.5861606039133929,0.0,0.5357142857142857
3,555,3,0.42127755781535925,0.0,0.76
4,668,4,0.4312432595807773,0.0,0.7272727272727273
5,821,5,0.40899666518921074,0.0,0.75
6,998,6,0.2825332980158189,0.0,0.75
7,1135,7,0.44723438367938484,0.0,0.7083333333333334
8,1304,8,0.30498561151649856,0.0,0.7636363636363637
9,1481,9,0.24608468527919944,0.0,0.8260869565217391
10,1674,10,0.2664765213173912,0.0,0.7777777777777778
11,1867,11,0.326699124899694,0.0,0.821917808219178
12,2036,12,0.2320861111659066,0.0,0.8360655737704918
13,2149,13,0.19347409004843022,0.0,0.8571428571428571
14,2358,14,0.28866118077996045,0.0,0.8076923076923077
15,2503,15,0.45335709437533495,0.0,0.7407407407407407
16,2624,16,0.3221741766874132,0.0,0.696969696969697
17,2753,17,0.20657754552703958,0.0,0.76
18,2882,18,0.30395803088324214,0.0,0.7755102040816326
19,3003,19,0.2891907318701475,0.0,0.8
20,3164,20,0.15883648506039894,0.0,0.8703703703703703
21,3293,21,0.5451244464448228,0.0,0.6363636363636364
22,3430,22,0.718311411406495,0.0,0.6333333333333333
23,3559,23,0.23054192294396686,0.0,0.7666666666666667
24,3680,24,0.21968424776125864,0.0,0.71875
25,3825,25,0.2917715048890688,0.0,0.7959183673469388
26,4010,26,0.3691509326043501,0.0,0.7605633802816901
27,4195,27,0.47481728947747115,0.0,0.6071428571428571
28,4388,28,0.29393270862029935,0.0,0.7391304347826086
29,4533,29,0.4064082356507667,0.0,0.6785714285714286
30,4670,30,0.26423510847634385,0.0,0.7428571428571429
31,4839,31,0.17637979575482826,0.0,0.813953488372093
32,5032,32,0.3341537250120408,0.0,0.7971014492753623
33,5161,33,0.27730223534545045,0.0,0.7674418604651163
34,5306,34,0.20359670616317868,0.0,0.7906976744186046
35,5443,35,0.296085091114106,0.0,0.7959183673469388
36,5580,36,0.37719810962391204,0.0,0.7843137254901961
37,5765,37,0.11974271585362735,0.0,0.825
38,5910,38,0.358360971223279,0.0,0.7704918032786885
39,6063,39,0.6424948626009231,0.0,0.5272727272727272
40,6232,40,0.18026440031634436,0.0,0.8181818181818182
41,6369,41,0.3412463061934138,0.0,0.6842105263157895
42,6490,42,0.33429631126302617,0.0,0.6388888888888888
43,6651,43,0.20479493674353694,0.0,0.7692307692307693
44,6828,44,0.18073988433997482,0.0,0.8163265306122449
45,6989,45,0.27562530841175137,0.0,0.7272727272727273
46,7166,46,0.3105909051450626,0.0,0.8
47,7319,47,0.11142604395915401,0.0,0.9111111111111111
48,7520,48,0.21891706859572715,0.0,0.8363636363636363
49,7689,49,0.23128867047695956,0.0,0.7692307692307693
50,7826,50,0.40971953969144925,0.0,0.6590909090909091
51,7955,51,0.19191930673263446,0.0,0.7647058823529411
52,8124,52,0.13550000142868573,0.0,0.9056603773584906
53,8221,53,0.2271695926914295,0.0,0.8260869565217391
54,8342,54,0.18579731555775514,0.0,0.8235294117647058
55,8519,55,0.19804431875255415,0.0,0.8793103448275862
56,8672,56,0.3091360595279764,0.0,0.7241379310344828
57,8817,57,0.3549565255854299,0.0,0.7450980392156863
